Date	Price	Open	High	Low	Change
Dec 98	42.470	42.500	42.727	42.350	-0.21%
Jan 99	42.490	42.450	42.632	42.350	0.05%
Feb 99	42.680	42.450	42.850	42.250	0.45%
Mar 99	42.405	42.530	42.715	42.100	-0.64%
Apr 99	42.810	42.380	43.130	42.200	0.96%
May 99	42.850	42.740	43.150	42.600	0.09%
Jun 99	43.380	42.900	43.490	42.750	1.24%
Jul 99	43.350	43.300	43.620	43.100	-0.07%
Aug 99	43.495	43.315	43.600	43.000	0.33%
Sep 99	43.630	43.460	43.920	43.350	0.31%
Oct 99	43.420	43.530	43.897	43.000	-0.48%
Nov 99	43.405	43.350	43.815	43.000	-0.03%
Dec 99	43.500	43.407	43.558	43.300	0.22%
Jan 00	43.625	43.480	43.775	43.350	0.29%
Feb 00	43.614	43.620	43.704	43.500	-0.03%
Mar 00	43.600	43.610	43.672	43.450	-0.03%
Apr 00	43.650	43.600	43.715	43.540	0.11%
May 00	44.575	43.652	44.815	43.550	2.12%
Jun 00	44.650	44.560	45.050	44.500	0.17%
Jul 00	45.050	44.640	45.170	44.255	0.90%
Aug 00	45.805	44.980	46.155	44.810	1.68%
Sep 00	45.980	45.720	46.480	45.500	0.38%
Oct 00	46.845	46.050	46.965	45.900	1.88%
Nov 00	46.870	46.750	46.977	46.380	0.05%
Dec 00	46.680	46.800	46.927	46.465	-0.41%
Jan 01	46.390	46.650	46.821	46.280	-0.62%
Feb 01	46.540	46.380	46.717	46.250	0.32%
Mar 01	46.710	46.550	47.040	46.210	0.37%
Apr 01	46.840	46.620	47.100	46.480	0.28%
May 01	47.000	46.840	47.147	46.617	0.34%
Jun 01	47.040	46.940	47.130	46.800	0.09%
Jul 01	47.130	46.990	47.620	46.980	0.19%
Aug 01	47.120	47.100	47.250	47.010	-0.02%
Sep 01	47.850	47.095	48.135	47.070	1.55%
Oct 01	47.990	47.860	48.260	47.670	0.29%
Nov 01	47.930	47.960	48.450	47.750	-0.13%
Dec 01	48.220	47.910	48.400	47.700	0.61%
Jan 02	48.510	48.250	48.655	48.000	0.60%
Feb 02	48.710	48.460	48.930	48.450	0.41%
Mar 02	48.780	48.660	48.900	48.600	0.14%
Apr 02	48.930	48.730	49.102	48.720	0.31%
May 02	49.010	48.920	49.120	48.850	0.16%
Jun 02	48.860	49.000	49.105	48.750	-0.31%
Jul 02	48.640	48.870	48.925	48.590	-0.45%
Aug 02	48.470	48.640	48.767	48.300	-0.35%
Sep 02	48.350	48.470	48.630	48.300	-0.25%
Oct 02	48.340	48.340	48.530	48.200	-0.02%
Nov 02	48.310	48.290	48.400	48.110	-0.06%
Dec 02	47.950	48.267	48.400	47.860	-0.75%
Jan 03	47.800	48.002	48.085	47.700	-0.31%
Feb 03	47.610	47.700	47.970	47.500	-0.40%
Mar 03	47.480	47.640	47.880	47.380	-0.27%
Apr 03	47.320	47.430	47.530	47.200	-0.34%
May 03	47.020	47.325	47.405	46.747	-0.63%
Jun 03	46.410	47.000	47.300	46.300	-1.30%
Jul 03	46.165	46.300	46.570	45.960	-0.53%
Aug 03	45.860	46.120	46.230	45.700	-0.66%
Sep 03	45.650	45.810	46.120	45.600	-0.46%
Oct 03	45.320	45.750	45.780	45.150	-0.72%
Nov 03	45.770	45.230	46.020	45.160	0.99%
Dec 03	45.625	45.720	45.825	45.400	-0.32%
Jan 04	45.270	45.585	45.750	45.170	-0.78%
Feb 04	45.205	45.200	45.370	45.100	-0.14%
Mar 04	43.350	45.190	45.382	43.300	-4.10%
Apr 04	44.470	43.250	44.510	43.250	2.58%
May 04	45.480	44.430	45.990	44.370	2.27%
Jun 04	45.975	45.400	46.320	44.860	1.09%
Jul 04	46.375	45.940	46.515	45.580	0.87%
Aug 04	46.315	46.400	46.490	46.110	-0.13%
Sep 04	45.925	46.250	46.367	45.690	-0.84%
Oct 04	45.335	45.890	45.935	45.280	-1.28%
Nov 04	44.500	45.310	45.520	44.450	-1.84%
Dec 04	43.250	44.520	44.770	43.230	-2.81%
Jan 05	43.645	43.370	44.080	43.280	0.91%
Feb 05	43.635	43.600	43.875	43.240	-0.02%
